Method,Test_metric,best_rho,cohort_pairs,ensemble_idxs,cluster_idxs,random_state,dim_modalities,n,n_train,n_val,n_test,extractor,weight_type
modality_1,407.8299255371094,,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
modality_2,457.90460205078125,,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
modality_3,441.1129150390625,,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
early_fusion,455.943359375,,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
late_fusion,402.4600830078125,,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
metafusion_simple_average,398.4336242675781,0.99,"[200, 300, 100]",,[0],1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
metafusion_weighted_average,397.3887023925781,0.99,"[200, 300, 100]",,[0],1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
metafusion_greedy_ensemble,388.6033630371094,0.99,"[200, 300, 100]","[0, 1]",[0],1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
metafusion_best_single,407.9715576171875,0.99,"[200, 300, 100]",,[0],1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
metafusion_cohort,"[407.9715576171875, 430.5115661621094, 436.6956787109375]",0.99,"[200, 300, 100]",,[0],1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
indep_simple_average,401.90789794921875,,"[200, 300, 100]",,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
indep_weighted_average,400.9382019042969,,"[200, 300, 100]",,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
indep_greedy_ensemble,394.06878662109375,,"[200, 300, 100]",,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
indep_best_single,413.615234375,,"[200, 300, 100]",,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
indep_cohort,"[413.615234375, 459.6415710449219, 444.32891845703125]",,"[200, 300, 100]",,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
jointlearning_simple_average,399.48638916015625,,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
jointlearning_weighted_average,394.50225830078125,,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
jointlearning_greedy_ensemble,403.2223205566406,,,"[1, 0]",,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
jointlearning_best_single,454.6554260253906,,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
jointlearning_cohort,"[436.0401916503906, 635.580078125, 348.2914733886719]",,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
shapley_simple_average,380.7093200683594,,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
shapley_weighted_average,378.34765625,,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
shapley_greedy_ensemble,382.8028869628906,,,"[1, 0]",,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
shapley_best_single,416.09710693359375,,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
shapley_cohort,"[398.17669677734375, 521.1307983398438, 346.0270690917969]",,,,,1234,"[200, 300, 100]",2000,1280,320,400,separate,clustering
